Designator,Footprint,Quantity,Value,LCSC Part #
BT1,BS-12-B-1A,1,3V,
"C1, C13, C14, C16, C2, C3, C32, C33, C34, C35, C37, C4, C47, C48, C5, C51, C52",0603,17,0.1uF,
"C10, C9",0603,2,10pF,
"C11, C12",0603,2,22pF,
"C15, C39, C42",0603,3,1uF,
"C17, C18, C38, C44, C46",0805,5,10uF,
"C19, C20, C21",1206,3,22uF,
"C22, C23",0603,2,10uF,
"C36, C40, C41, C43, C45, C49",0603,6,100nF,
C6,0603,1,4.7uF,
"C7, C8",0603,2,2.2uF,
"D1, D10, D11, D12, D13, D4",0603,6,LED,
"D2, D5",D_SOD-323,2,1N5819WS,
D3,SOT-23,1,BAT54C,
D7,D_SOD-923,1,ESD9B3.3ST5G,
"FB1, FB2, FB3",0603,3,600R,
"H1, H2, H3, H4",MountingHole_2.5mm_Pad,4,MountingHole,
J1,TE_4-1734839-0_1x40-1MP_P0.5mm_Horizontal,1,Conn_01x40_MountingPin,
J2,TE_0-1734839-6_1x06-1MP_P0.5mm_Horizontal,1,Conn_01x06_MountingPin,
J3,17461421,1,1746142-1,
"J4, J5",PinSocket_2x09_P2.54mm_Vertical_SMD,2,Conn_02x09_Counter_Clockwise,
"J7, J9",USB_C_Receptacle_G-Switch_GT-USB-7010ASV,2,USB_C_Receptacle_USB2.0,
J8,PinHeader_2x05_P1.27mm_Vertical_SMD,1,Conn_02x05_Odd_Even,
L1,L_APV_ANR6020,1,1uH,
L2,0805,1,10uH,
P1,SUNTECH_ST-TF-003A,1,ST-TF-003A,
R1,0603,1,0R,
"R11, R2, R39, R48",0603,4,10k,
"R12, R9",0603,2,2R,
"R28, R29, R30, R31, R32",0603,5,33R,
"R3, R4, R5, R6, R7, R8",0603,6,47k,
R33,0603,1,100k,
"R41, R42, R44",0603,3,22R,
"R45, R52, R53, R54",0603,4,470R,
R46,0603,1,5k,
R47,0603,1,10R,
"R50, R51",0603,2,220R,
"SW1, SW2",SW_SPST_CK_RS282G05A3,2,SW_Push,
SW3,SW_Push_1P1T-MP_NO_Horizontal_Alps_SKRTLAE010,1,SW_Push,
U1,LQFP-100_14x14mm_P0.5mm,1,STM32H750VBTx,
"U10, U11",SOT-23-6,2,USBLC6-2SC6,
U12,TSOT-23-6,1,LT3465,
U2,SOP8-P,1,IP5306,
U3,LQFP-48_7x7mm_P0.5mm,1,STM32F072CBT6,
U7,WSON-8-1EP_8x6mm_P1.27mm_EP3.4x4.3mm,1,W25Q256JVS,
U9,SOT-223-3_TabPin2,1,AMS1117-3.3,
Y1,Crystal_SMD_Abracon_ABM3-2Pin_5.0x3.2mm,1,8MHz,
Y2,Crystal_SMD_3215-2Pin_3.2x1.5mm,1,32.768KHz,
